BSP chunks: 379, textured: 361
  [0] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=55
  [1] tex='CalmwaterCube_Midref' glId=0 256x256 verts=53
  [2] tex='res_facade_wfeature_diffuse' glId=346 2048x1024 verts=43
  [3] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=19
  [4] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=76
  [5] tex='scilabwall_diffuse' glId=348 2048x2048 verts=668
  [6] tex='med_wall_public_dirt' glId=349 2048x2048 verts=48
  [7] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=485
  [8] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=62
  [9] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=263
  [10] tex='Sandy_Bottom_01_Diffuse' glId=352 2048x2048 verts=25
  [11] tex='concrete_03_Diffuse' glId=353 2048x2048 verts=177
  [12] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=220
  [13] tex='RoughWaterLowRefCube' glId=0 256x256 verts=15
  [14] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=114
  [15] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=24
  [16] tex='med_wall_public_dirt' glId=349 2048x2048 verts=195
  [17] tex='concrete_03_ALT_D' glId=354 2048x2048 verts=5
  [18] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=30
  [19] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=499
  [20] tex='Concrete_Barrier_Diffuse' glId=145 2048x2048 verts=62
  [21] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=74
  [22] tex='med_wall_public_dirt' glId=349 2048x2048 verts=152
  [23] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=270
  [24] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=222
  [25] tex='concrete_03_ALT_D' glId=354 2048x2048 verts=72
  [26] tex='med_wall_public_dirt' glId=349 2048x2048 verts=319
  [27] tex='scilabwall_diffuse' glId=348 2048x2048 verts=42
  [28] tex='res_facade_wfeature_diffuse' glId=346 2048x1024 verts=73
  [29] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=165
  [30] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=8
  [31] tex='med_wall_public_dirt' glId=349 2048x2048 verts=165
  [32] tex='Wallpaper_A_Diffuse' glId=356 2048x2048 verts=79
  [33] tex='Bathroom_Tile_Diffuse' glId=357 2048x2048 verts=14
  [34] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=15
  [35] tex='Marble_ceiling_damage_diffuse' glId=202 2048x2048 verts=35
  [36] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=25
  [37] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=146
  [38] tex='Bathroom_Tile_Diffuse' glId=357 2048x2048 verts=15
  [39] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=55
  [40] tex='concrete_03_ALT_D' glId=354 2048x2048 verts=66
  [41] tex='small_wood' glId=52 2048x2048 verts=37
  [42] tex='concrete_02' glId=359 2048x2048 verts=20
  [43] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=101
  [44] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=70
